7,C0,28,C9,14,42,90,A6,1,56,72,62,D1,B3,54,8D,B4,0,9E,5,4C,16,D4,1,0,D0,21,1A,47,1,0,0,0,4,51,45,13,35,96,A3,1,CE,A6,5C,10,93,45,C2,4,8,B,E0,2C,90,E3,60,CC,F1,50,92,64,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,D2,C4,69,12,6,3C,CF,83,34,53,74,86,91,A1,31,92,24,1,94,61,50,E,0,2,46,46,1,1D,66,1,0,0,0,10,55,9,72,49,42,13,1,94,42,18,11,B0,45,8A,B0,28,19,70,55,D0,2,49,50,7,78,14,3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,
50,22,35,2,15,4D,CC,F6,48,8D,23,4,50,63,51,20,54,1,96,C3,18,92,34,46,0,C0,4,A3,45,1,0,0,0,20,39,54,67,52,C,F0,60,96,E4,89,CD,26,1,C0,55,1,58,50,39,90,64,48,13,70,2C,9D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3F,B0,40,C0,12,D,0,C3,5D,9D,57,11,55,B4,38,22,4,0,3,24,4C,8B,C2,28,0,E0,0,12,E0,0,0,0,40,52,6D,52,39,45,D1,63,49,D,A0,0,14,B1,39,93,10,40,C,A4,2D,8F,3,59,4A,25,50,51,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
4E,95,41,86,E2,38,0,96,34,9C,48,36,E,11,3D,8E,F1,0,22,6,7B,D1,E4,39,C,10,52,45,A2,0,0,0,0,12,20,50,B1,44,94,F6,38,D,B3,34,D5,D1,5,5B,12,1C,92,E4,24,9,93,4D,0,84,3D,C0,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D7,22,4A,54,53,64,8B,36,31,CD,F2,44,C0,F6,68,D1,20,1,D7,98,49,98,52,29,85,62,5C,84,88,1,0,0,C0,A1,58,85,E5,34,5E,E3,0,CD,26,29,8,4,4A,A,1,59,18,60,15,11,52,65,48,6,40,51,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E,82,45,C7,35,49,16,1,80,94,43,3E,10,0,58,16,34,1,17,18,72,45,1,55,14,E4,38,8,40,1,0,0,C0,73,60,52,39,49,56,54,55,84,27,45,54,81,39,14,10,39,D5,5,31,90,F2,3C,D0,0,4C,C,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65,42,59,A3,25,94,C2,1,D2,E2,54,9,22,3C,94,43,5,60,27,62,55,97,19,51,B2,6D,99,45,0,0,0,80,11,49,90,23,45,8D,45,45,92,83,0,CB,22,22,54,15,11,D6,B2,38,4E,33,55,53,F0,34,80,F0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,40,0,0,80,1,0,0,0,0,0,0,0,0,0,
15,80,5D,C0,D6,38,53,E8,25,CF,B5,1,6,A0,4C,5,C2,0,DD,74,5D,15,E4,24,22,50,9,93,61,1,0,0,47,50,40,E4,83,59,44,62,40,4E,83,44,CB,E2,D,C,A0,10,8D,B2,40,8C,C3,48,CE,4,44,CE,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,96,58,D2,B0,2D,58,34,80,53,3,35,4D,11,50,D8,D4,50,50,10,14,4E,E4,81,8C,46,54,50,15,1,0,0,C0,14,2,55,3,39,4F,D5,20,44,A4,41,4D,A2,30,3,2,44,52,C0,34,8A,B4,44,13,0,34,8B,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
D1,55,11,42,15,2D,53,28,48,11,44,72,E,C0,40,8D,3,1,43,A4,1,D9,23,2D,E,10,1,82,90,0,0,0,4,90,4C,58,2,45,F,3,51,50,E3,34,18,93,28,C6,3,7C,CD,C1,20,B,44,55,D1,5,48,90,C4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,62,28,40,33,2D,D,27,5D,D2,6,3E,0,4,35,D7,22,1,2,80,2D,48,5,48,1,73,9,0,93,1,0,0,40,E3,44,D4,32,82,97,21,25,CB,31,39,CE,1,12,B,0,1C,2,28,55,90,5,61,1,E7,30,CC,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,5,44,40,D6,0,50,E5,71,4D,38,3A,53,83,48,C,40,1,50,16,51,8A,D4,38,54,D4,64,DD,A5,1,0,0,13,B0,38,8A,E2,34,80,60,64,54,13,5C,1C,E2,39,59,12,25,8A,15,31,8E,E3,58,C4,2,60,B,E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8C,E1,64,1C,0,41,80,87,35,0,43,6C,2,C0,41,58,83,1,86,E4,40,55,62,29,2,D0,0,87,46,2,0,0,80,5,55,E,E4,30,8E,C6,38,11,B0,48,D3,C2,41,0,83,30,50,0,49,53,A3,58,8B,1,0,8E,C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,
99,93,35,4D,32,35,0,F0,2C,4B,D2,34,11,60,45,C7,2,1,D1,70,4C,0,91,35,0,30,2,12,8,0,0,0,CC,71,35,D0,F2,84,12,D6,40,93,2,3A,9A,84,65,45,52,1,6,D0,48,54,93,60,54,1,40,52,E2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,35,39,CA,C2,40,96,94,31,A0,F6,48,91,73,41,E1,85,1,88,B5,61,8,A6,50,9A,4,59,E,0,1,0,0,4B,26,1D,CE,C3,49,4E,B3,24,D1,43,51,14,0,31,9,A6,20,CE,D1,34,CE,A2,70,A,22,54,52,45,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,1,0,80,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1E,10,38,1C,4,34,CE,C0,49,C0,A3,45,F,23,46,11,4,9,49,73,99,CA,26,51,A,4,79,8E,83,0,0,0,86,62,55,51,84,54,D4,82,4D,40,23,39,8D,54,12,10,56,10,51,A1,58,CE,E3,60,C6,46,42,90,E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,D2,1C,80,B1,30,97,54,35,12,80,3D,3,13,64,5C,53,1,14,94,41,4B,F2,20,0,90,0,52,6,2,0,0,C0,4,39,C,E3,50,D0,42,3D,8D,3,59,DD,1,2A,8A,52,54,CB,14,21,C,A3,54,8,53,38,0,E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0,20,85,E4,2C,90,C3,14,42,D7,40,40,A4,65,19,50,1,4D,8,39,C9,15,55,0,D0,48,D0,26,1,0,0,C,D5,1,19,37,39,56,50,54,4,24,39,10,90,1D,85,82,40,A0,D5,48,94,94,4C,80,94,70,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C0,0,0,0,0,0,0,0,0,0,0,95,10,20,40,A4,28,D1,3,38,80,D0,20,11,0,49,CB,C3,0,D8,77,40,97,76,71,80,35,5,1A,E4,1,0,0,0,C0,3C,F,C4,20,40,E0,0,D,D0,3C,0,2,A,1A,20,1,C8,C4,2C,D0,C3,54,12,50,2C,8E,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
